"","state.of.res","custid","sex","is.employed","income","marital.stat","health.ins","housing.type","recent.move","num.vehicles","age","is.employed.fix1","age.normalized","Median.Income","income.norm","gp","income.lt.30K","age.range","Income"
"1","Alabama",1063014,"F",TRUE,82000,"Married",TRUE,"Rented",FALSE,2,43,"employed",-0.46119995245016,52371,1.56575203834183,0.935059992130846,FALSE,"(25,65]",NA
"2","Alabama",1192089,"M",NA,49000,"Married",TRUE,"Homeowner free and clear",FALSE,2,77,"missing",1.34122907835114,52371,0.935632315594508,0.11624109861441,FALSE,"(65,Inf]",NA
"3","Alabama",16551,"F",NA,7000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,46,"missing",-0.302162096791222,52371,0.133661759370644,0.990683228475973,TRUE,"(25,65]",4500
"4","Alabama",1079878,"F",NA,37200,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,1,62,"missing",0.54603980005645,52371,0.710316778369708,0.187355963746086,FALSE,"(25,65]",20000
"5","Alabama",502705,"M",TRUE,70000,"Married",FALSE,"Rented",FALSE,4,37,"employed",-0.779275663768037,52371,1.33661759370644,0.849023753078654,FALSE,"(25,65]",12000
"6","Alabama",674271,"M",FALSE,0,"Married",TRUE,"Rented",TRUE,1,54,"not employed",0.121938851632614,52371,0,0.329508487368003,TRUE,"(25,65]",180000
"7","Alabama",15917,"F",TRUE,24000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,70,"employed",0.970140748480286,52371,0.45826888927078,0.509794325102121,TRUE,"(65,Inf]",120000
"8","Alabama",467335,"M",TRUE,42600,"Never Married",FALSE,"Rented",FALSE,1,33,"employed",-0.991326137979955,52371,0.813427278455634,0.325397768057883,FALSE,"(25,65]",40000
"9","Alabama",462569,"M",NA,22000,"Widowed",TRUE,"Homeowner free and clear",FALSE,0,89,"missing",1.9773805009869,52371,0.420079815164881,0.508961108978838,TRUE,"(65,Inf]",NA
"10","Alabama",1216026,"M",NA,9600,"Never Married",FALSE,"Rented",FALSE,6,50,"missing",-0.0901116225793037,52371,0.183307555708312,0.574865092523396,TRUE,"(25,65]",24000
"11","Alabama",1036358,"F",TRUE,44500,"Divorced/Separated",TRUE,"Rented",TRUE,1,48,"employed",-0.196136859685263,52371,0.849706898856237,0.177803508238867,FALSE,"(25,65]",NA
"12","Alabama",884334,"M",TRUE,51000,"Married",TRUE,"Rented",FALSE,2,52,"employed",0.0159136145266553,52371,0.973821389700407,0.703088565962389,FALSE,"(25,65]",220000
"13","Alaska",415575,"M",NA,0,"Never Married",TRUE,NA,NA,NA,63,"missing",0.59905241860943,44191,0,0.956131165614352,TRUE,"(25,65]",85000
"14","Alaska",416144,"F",TRUE,82000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,44,"employed",-0.408187333897181,44191,1.85558145323708,0.306658288929611,FALSE,"(25,65]",89200
"15","Arizona",1096606,"M",TRUE,52500,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,50,"employed",-0.0901116225793037,65720,0.798843578819233,0.421101192943752,FALSE,"(25,65]",170000
"16","Arizona",692445,"M",TRUE,140000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,48,"employed",-0.196136859685263,65720,2.13024954351796,0.541752646910027,FALSE,"(25,65]",14400
"17","Arizona",68013,"M",NA,100,"Divorced/Separated",FALSE,NA,NA,NA,28,"missing",-1.25638923074485,65720,0.00152160681679854,0.629409632878378,TRUE,"(25,65]",NA
"18","Arizona",940084,"M",TRUE,53000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,29,"employed",-1.20337661219187,65720,0.806451612903226,0.358310771174729,FALSE,"(25,65]",30000
"19","Arizona",492072,"F",TRUE,80000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,49,"employed",-0.143124241132283,65720,1.21728545343883,0.446818600175902,FALSE,"(25,65]",80000
"20","Arizona",870909,"F",NA,4000,"Married",TRUE,"Homeowner free and clear",FALSE,2,57,"missing",0.280976707291553,65720,0.0608642726719416,0.501489596208557,TRUE,"(25,65]",NA
"21","Arizona",1372296,"F",NA,62000,"Widowed",TRUE,"Homeowner free and clear",TRUE,1,62,"missing",0.54603980005645,65720,0.943396226415094,0.369414650602266,FALSE,"(25,65]",35000
"22","Arizona",958271,"F",TRUE,180000,"Divorced/Separated",TRUE,"Rented",FALSE,1,39,"employed",-0.673250426662078,65720,2.73889227023737,0.387902538757771,FALSE,"(25,65]",24000
"23","Arizona",498048,"M",TRUE,95000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,60,"employed",0.440014562950491,65720,1.44552647595861,0.7556032971479,FALSE,"(25,65]",75000
"24","Arizona",211330,"F",NA,12200,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,78,"missing",1.39424169690412,65720,0.185636031649422,0.581485864240676,TRUE,"(65,Inf]",80000
"25","Arizona",399150,"M",TRUE,50000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,38,"employed",-0.726263045215058,65720,0.76080340839927,0.140432364074513,FALSE,"(25,65]",397000
"26","Arizona",291564,"F",NA,28100,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,75,"missing",1.23520384124518,65720,0.42757151552039,0.00226770783774555,TRUE,"(65,Inf]",45000
"27","Arkansas",748153,"F",TRUE,34200,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,58,"employed",0.333989325844532,48484,0.705387344278525,0.859183492138982,FALSE,"(25,65]",24900
"28","Arkansas",1269051,"F",NA,137600,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,1,69,"missing",0.917128129927307,48484,2.83804966586915,0.637404395267367,FALSE,"(65,Inf]",17500
"29","Arkansas",874159,"F",TRUE,7500,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,47,"employed",-0.249149478238242,48484,0.154690207078624,0.769732312299311,TRUE,"(25,65]",25800
"30","Arkansas",1200487,"M",NA,0,"Never Married",FALSE,NA,NA,NA,36,"missing",-0.832288282321016,48484,0,0.978434404125437,TRUE,"(25,65]",NA
"31","Arkansas",253015,"M",TRUE,30000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,35,"employed",-0.885300900873996,48484,0.618760828314496,0.513576715486124,FALSE,"(25,65]",22000
"32","Arkansas",399930,"M",TRUE,55000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,42,"employed",-0.51421257100314,48484,1.13439485190991,0.76444373652339,FALSE,"(25,65]",NA
"33","Arkansas",961665,"M",NA,0,"Never Married",FALSE,NA,NA,NA,45,"missing",-0.355174715344201,48484,0,0.441067085601389,TRUE,"(25,65]",NA
"34","Arkansas",356688,"F",TRUE,27000,"Never Married",FALSE,"Rented",FALSE,1,26,"employed",-1.36241446785081,48484,0.556884745483046,0.657367538195103,TRUE,"(25,65]",36880
"35","Arkansas",1358975,"F",TRUE,92000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,1,46,"employed",-0.302162096791222,48484,1.89753320683112,0.821449507260695,FALSE,"(25,65]",NA
"36","Arkansas",55992,"F",NA,0,"Married",TRUE,"Rented",FALSE,1,38,"missing",-0.726263045215058,48484,0,0.268570262240246,TRUE,"(25,65]",34300
"37","Arkansas",1079462,"F",TRUE,9500,"Never Married",TRUE,"Rented",FALSE,2,36,"employed",-0.832288282321016,48484,0.195940928966257,0.675680170767009,TRUE,"(25,65]",90000
"38","Arkansas",1305771,"F",TRUE,14400,"Never Married",TRUE,"Rented",TRUE,1,31,"employed",-1.09735137508591,48484,0.297005197590958,0.859083435963839,TRUE,"(25,65]",NA
"39","Arkansas",450221,"M",TRUE,15800,"Married",FALSE,"Homeowner with mortgage/loan",FALSE,2,64,"employed",0.652065037162409,48484,0.325880702912301,0.242316746618599,TRUE,"(25,65]",NA
"40","California",799565,"M",NA,1600,"Never Married",FALSE,NA,NA,NA,23,"missing",-1.52145232350975,39832,0.0401687085760193,0.280219412175938,TRUE,"[0,25]",NA
"41","California",1199409,"M",TRUE,18000,"Never Married",FALSE,"Rented",FALSE,1,34,"employed",-0.938313519426975,39832,0.451897971480217,0.867676487192512,TRUE,"(25,65]",NA
"42","California",167154,"M",NA,0,"Never Married",FALSE,NA,NA,NA,31,"missing",-1.09735137508591,39832,0,0.538155999034643,TRUE,"(25,65]",45050
"43","California",1245912,"F",TRUE,14000,"Married",TRUE,"Occupied with no rent",FALSE,1,28,"employed",-1.25638923074485,39832,0.351476200040169,0.172903408762068,TRUE,"(25,65]",46000
"44","California",616498,"M",TRUE,30000,"Never Married",FALSE,"Rented",FALSE,4,52,"employed",0.0159136145266553,39832,0.753163285800362,0.523107590619475,FALSE,"(25,65]",139000
"45","California",461021,"F",FALSE,9600,"Widowed",TRUE,"Rented",FALSE,2,64,"not employed",0.652065037162409,39832,0.241012251456116,0.549291711999103,TRUE,"(25,65]",NA
"46","California",665669,"F",TRUE,38000,"Never Married",TRUE,"Rented",FALSE,4,33,"employed",-0.991326137979955,39832,0.954006828680458,0.0121784138027579,FALSE,"(25,65]",84010
"47","California",1047534,"M",TRUE,200000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,130.401604710147,"employed",4.17218797896715,39832,5.02108857200241,0.700691057834774,FALSE,"(65,Inf]",NA
"48","California",1016594,"M",NA,14400,"Married",TRUE,"Rented",FALSE,1,69,"missing",0.917128129927307,39832,0.361518377184174,0.0981012887787074,TRUE,"(65,Inf]",51500
"49","California",1353087,"M",NA,0,"Never Married",FALSE,NA,NA,NA,25,"missing",-1.41542708640379,39832,0,0.343431145418435,TRUE,"[0,25]",NA
"50","California",390273,"M",NA,27100,"Married",TRUE,"Homeowner free and clear",FALSE,2,64,"missing",0.652065037162409,39832,0.680357501506327,0.416211585048586,TRUE,"(25,65]",NA
"51","California",106956,"F",TRUE,150600,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,50,"employed",-0.0901116225793037,39832,3.78087969471781,0.842099352739751,FALSE,"(25,65]",NA
"52","California",1241524,"M",TRUE,50000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,2,56,"employed",0.227964088738573,39832,1.2552721430006,0.375367826782167,FALSE,"(25,65]",91000
"53","California",78476,"M",TRUE,76000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,60,"employed",0.440014562950491,39832,1.90801365736092,0.140902055427432,FALSE,"(25,65]",150000
"54","California",218283,"F",NA,20000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,37,"missing",-0.779275663768037,39832,0.502108857200241,0.722357812803239,TRUE,"(25,65]",19000
"55","California",569414,"F",TRUE,50600,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,57,"employed",0.280976707291553,39832,1.27033540871661,0.738656315486878,FALSE,"(25,65]",52000
"56","California",65004,"F",TRUE,150000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,49,"employed",-0.143124241132283,39832,3.76581642900181,0.797440058318898,FALSE,"(25,65]",NA
"57","California",1175925,"M",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,59,"missing",0.387001944397512,39832,0,0.0843284474685788,TRUE,"(25,65]",78000
"58","California",819436,"F",NA,56800,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,1,81,"missing",1.55327955256306,39832,1.42598915444868,0.301192527636886,FALSE,"(65,Inf]",120300
"59","California",1225838,"M",TRUE,75000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,62,"employed",0.54603980005645,39832,1.8829082145009,0.707371695199981,FALSE,"(25,65]",NA
"60","California",383455,"M",TRUE,124000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,44,"employed",-0.408187333897181,39832,3.11307491464149,0.915865677641705,FALSE,"(25,65]",162000
"61","California",752338,"M",TRUE,285000,"Divorced/Separated",FALSE,"Rented",FALSE,2,34,"employed",-0.938313519426975,39832,7.15505121510343,0.897711215773597,FALSE,"(25,65]",18200
"62","California",756667,"F",TRUE,6300,"Married",TRUE,"Rented",TRUE,2,45,"employed",-0.355174715344201,39832,0.158164290018076,0.244300628546625,TRUE,"(25,65]",37200
"63","California",442608,"M",TRUE,34000,"Never Married",TRUE,"Homeowner with mortgage/loan",TRUE,4,23,"employed",-1.52145232350975,39832,0.85358505724041,0.956384393386543,FALSE,"[0,25]",76000
"64","California",80274,"M",NA,37300,"Married",TRUE,"Homeowner free and clear",FALSE,5,68,"missing",0.864115511374327,39832,0.93643301867845,0.409844817826524,FALSE,"(65,Inf]",30000
"65","California",778092,"M",TRUE,60000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,38,"employed",-0.726263045215058,39832,1.50632657160072,0.130744249094278,FALSE,"(25,65]",NA
"66","California",51723,"F",NA,15700,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,78,"missing",1.39424169690412,39832,0.394155452902189,0.358784524258226,TRUE,"(65,Inf]",NA
"67","California",196613,"F",TRUE,77800,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,45,"employed",-0.355174715344201,39832,1.95320345450894,0.0508885125163943,FALSE,"(25,65]",70000
"68","California",576799,"F",TRUE,76600,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,47,"employed",-0.249149478238242,39832,1.92307692307692,0.589919919380918,FALSE,"(25,65]",33600
"69","California",27214,"M",NA,18800,"Married",TRUE,"Homeowner free and clear",FALSE,2,68,"missing",0.864115511374327,39832,0.471982325768227,0.978187751490623,TRUE,"(65,Inf]",29800
"70","California",581657,"F",NA,7500,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,83,"missing",1.65930478966902,39832,0.18829082145009,0.458002031780779,TRUE,"(65,Inf]",21600
"71","California",419751,"M",TRUE,95300,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,57,"employed",0.280976707291553,39832,2.39254870455915,0.963649059878662,FALSE,"(25,65]",NA
"72","California",26355,"M",TRUE,80000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,36,"employed",-0.832288282321016,39832,2.00843542880096,0.249470073962584,FALSE,"(25,65]",39600
"73","California",210241,"F",TRUE,10000,"Never Married",FALSE,"Rented",FALSE,1,29,"employed",-1.20337661219187,39832,0.251054428600121,0.36808334919624,TRUE,"(25,65]",NA
"74","California",90863,"M",TRUE,285020,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,37,"employed",-0.779275663768037,39832,7.15555332396063,0.544029082171619,FALSE,"(25,65]",285020
"75","California",955457,"M",TRUE,32000,"Married",TRUE,"Homeowner free and clear",FALSE,4,43,"employed",-0.46119995245016,39832,0.803374171520386,0.361864427104592,FALSE,"(25,65]",NA
"76","California",1391586,"M",NA,22000,"Married",TRUE,"Homeowner free and clear",FALSE,4,64,"missing",0.652065037162409,39832,0.552319742920265,0.418967089615762,TRUE,"(25,65]",299000
"77","California",497970,"F",TRUE,48000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,30,"employed",-1.15036399363889,39832,1.20506125728058,0.522834691219032,FALSE,"(25,65]",266200
"78","California",1392648,"M",TRUE,70000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,60,"employed",0.440014562950491,39832,1.75738100020084,0.64491348224692,FALSE,"(25,65]",NA
"79","California",510555,"M",TRUE,30000,"Divorced/Separated",FALSE,"Rented",FALSE,2,47,"employed",-0.249149478238242,39832,0.753163285800362,0.621642772341147,FALSE,"(25,65]",NA
"80","California",354269,"M",NA,22000,"Never Married",FALSE,"Rented",TRUE,1,29,"missing",-1.20337661219187,39832,0.552319742920265,0.718142411205918,TRUE,"(25,65]",38800
"81","California",1087193,"F",TRUE,99000,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,0,75,"employed",1.23520384124518,39832,2.48543884314119,0.538321911823004,FALSE,"(65,Inf]",28800
"82","California",1222630,"F",TRUE,78000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,52,"employed",0.0159136145266553,39832,1.95822454308094,0.53021628386341,FALSE,"(25,65]",NA
"83","California",223773,"F",NA,10200,"Widowed",TRUE,"Rented",TRUE,1,74,"missing",1.1821912226922,39832,0.256075517172123,0.141949917888269,TRUE,"(65,Inf]",130000
"84","California",517696,"F",NA,6300,"Married",TRUE,"Homeowner free and clear",FALSE,2,56,"missing",0.227964088738573,39832,0.158164290018076,0.981940978439525,TRUE,"(25,65]",15500
"85","California",8322,"F",TRUE,180000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,40,"employed",-0.620237808109099,39832,4.51897971480217,0.781613930361345,FALSE,"(25,65]",NA
"86","California",1269661,"F",NA,13600,"Married",FALSE,"Homeowner free and clear",FALSE,2,59,"missing",0.387001944397512,39832,0.341434022896164,0.301209136145189,TRUE,"(25,65]",25700
"87","California",505318,"F",TRUE,26400,"Divorced/Separated",TRUE,"Rented",FALSE,1,36,"employed",-0.832288282321016,39832,0.662783691504318,0.819395831087604,TRUE,"(25,65]",39000
"88","California",862412,"M",TRUE,120000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,75,"employed",1.23520384124518,39832,3.01265314320145,0.825774352066219,FALSE,"(65,Inf]",150600
"89","California",1169067,"M",TRUE,165100,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,71,"employed",1.02315336703327,39832,4.14490861618799,0.851260213414207,FALSE,"(65,Inf]",182500
"90","California",1231777,"F",TRUE,91010,"Never Married",TRUE,"Rented",FALSE,1,52,"employed",0.0159136145266553,39832,2.2848463546897,0.401789418887347,FALSE,"(25,65]",6200
"91","California",988580,"M",NA,17100,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,0,77,"missing",1.34122907835114,39832,0.429303072906206,0.597125405678526,TRUE,"(65,Inf]",NA
"92","California",31710,"F",TRUE,397000,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,2,55,"employed",0.174951470185594,39832,9.96686081542478,0.305551808094606,FALSE,"(25,65]",60000
"93","California",878882,"M",TRUE,76000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,0,33,"employed",-0.991326137979955,39832,1.90801365736092,0.989806043915451,FALSE,"(25,65]",26000
"94","California",994628,"F",NA,0,"Married",FALSE,"Rented",FALSE,2,29,"missing",-1.20337661219187,39832,0,0.0275704660452902,TRUE,"(25,65]",221000
"95","California",871562,"M",TRUE,37000,"Never Married",FALSE,"Rented",TRUE,2,19,"employed",-1.73350279772167,39832,0.928901385820446,0.323110084747896,FALSE,"[0,25]",25000
"96","California",575660,"F",TRUE,28000,"Never Married",FALSE,"Rented",TRUE,1,24,"employed",-1.46843970495677,39832,0.702952400080337,0.586089631542563,TRUE,"[0,25]",50000
"97","California",1412971,"M",NA,43400,"Married",TRUE,"Homeowner free and clear",FALSE,1,88,"missing",1.92436788243392,39832,1.08957622012452,0.553328840993345,FALSE,"(65,Inf]",NA
"98","California",116171,"F",NA,51500,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,81,"missing",1.55327955256306,39832,1.29293030729062,0.00570856756530702,FALSE,"(65,Inf]",NA
"99","California",53186,"F",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,61,"missing",0.493027181503471,39832,0,0.506684698862955,TRUE,"(25,65]",NA
"100","California",829722,"F",NA,29000,"Widowed",TRUE,"Homeowner free and clear",FALSE,0,78,"missing",1.39424169690412,39832,0.728057842940349,0.238271063892171,TRUE,"(65,Inf]",110000
"101","California",1285807,"F",TRUE,24000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,31,"employed",-1.09735137508591,39832,0.602530628640289,0.512762831058353,TRUE,"(25,65]",60000
"102","California",459429,"F",TRUE,60000,"Married",TRUE,"Rented",FALSE,3,38,"employed",-0.726263045215058,39832,1.50632657160072,0.310125760501251,FALSE,"(25,65]",29500
"103","California",146457,"M",TRUE,49000,"Never Married",TRUE,"Rented",FALSE,2,35,"employed",-0.885300900873996,39832,1.23016670014059,0.819738687947392,FALSE,"(25,65]",NA
"104","California",158530,"M",NA,1400,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,1,83,"missing",1.65930478966902,39832,0.0351476200040169,0.964086818741634,TRUE,"(65,Inf]",21400
"105","California",549068,"M",TRUE,75100,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,42,"employed",-0.51421257100314,39832,1.8854187587869,0.433768983697519,FALSE,"(25,65]",1e+05
"106","California",99068,"F",TRUE,38800,"Never Married",TRUE,"Rented",FALSE,3,34,"employed",-0.938313519426975,39832,0.974091182968468,0.766837342642248,FALSE,"(25,65]",1e+05
"107","California",1132236,"F",TRUE,40000,"Never Married",TRUE,"Rented",FALSE,1,55,"employed",0.174951470185594,39832,1.00421771440048,0.549880238017067,FALSE,"(25,65]",18000
"108","California",814516,"F",TRUE,36000,"Divorced/Separated",TRUE,"Rented",TRUE,1,27,"employed",-1.30940184929783,39832,0.903795942960434,0.935929665109143,FALSE,"(25,65]",112000
"109","California",52382,"M",TRUE,45050,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,39,"employed",-0.673250426662078,39832,1.13100020084354,0.386026976397261,FALSE,"(25,65]",90000
"110","California",396675,"F",TRUE,60000,"Never Married",TRUE,"Rented",TRUE,1,45,"employed",-0.355174715344201,39832,1.50632657160072,0.514797286363319,FALSE,"(25,65]",16800
"111","California",857511,"F",TRUE,30,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,54,"employed",0.121938851632614,39832,0.000753163285800362,0.889517271658406,TRUE,"(25,65]",140000
"112","California",433755,"F",NA,60000,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,3,85,"missing",1.76533002677498,39832,1.50632657160072,0.836626019328833,FALSE,"(65,Inf]",NA
"113","California",999444,"M",TRUE,24000,"Married",TRUE,"Rented",FALSE,2,24,"employed",-1.46843970495677,39832,0.602530628640289,0.495107950875536,TRUE,"[0,25]",10000
"114","California",907824,"F",FALSE,43000,"Never Married",FALSE,"Rented",FALSE,1,55,"not employed",0.174951470185594,39832,1.07953404298052,0.0264610897284001,FALSE,"(25,65]",9600
"115","California",1055360,"F",NA,0,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,58,"missing",0.333989325844532,39832,0,0.472657507983968,TRUE,"(25,65]",NA
"116","California",908928,"M",TRUE,32000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,4,56,"employed",0.227964088738573,39832,0.803374171520386,0.853042878909037,FALSE,"(25,65]",NA
"117","California",1042303,"M",TRUE,71300,"Married",TRUE,"Rented",FALSE,2,28,"employed",-1.25638923074485,39832,1.79001807591886,0.358112100511789,FALSE,"(25,65]",49000
"118","California",56040,"F",NA,0,"Married",TRUE,"Rented",TRUE,2,39,"missing",-0.673250426662078,39832,0,0.349825690034777,TRUE,"(25,65]",NA
"119","California",932574,"M",NA,12500,"Never Married",TRUE,"Rented",FALSE,0,66,"missing",0.758090274268368,39832,0.313818035750151,0.963035713648424,TRUE,"(65,Inf]",90000
"120","California",352275,"F",FALSE,36000,"Married",TRUE,"Occupied with no rent",FALSE,3,58,"not employed",0.333989325844532,39832,0.903795942960434,0.574060792569071,FALSE,"(25,65]",NA
"121","California",620116,"F",TRUE,28000,"Married",TRUE,"Rented",TRUE,2,26,"employed",-1.36241446785081,39832,0.702952400080337,0.23444006126374,TRUE,"(25,65]",78000
"122","California",1159665,"M",TRUE,37000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,46,"employed",-0.302162096791222,39832,0.928901385820446,0.277308323420584,FALSE,"(25,65]",402000
"123","California",169519,"F",TRUE,30600,"Divorced/Separated",TRUE,"Rented",FALSE,1,62,"employed",0.54603980005645,39832,0.768226551516369,0.354032017523423,FALSE,"(25,65]",9000
"124","California",38827,"F",NA,9700,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,72,"missing",1.07616598558625,39832,0.243522795742117,0.311487071448937,TRUE,"(65,Inf]",NA
"125","California",1210604,"F",NA,31500,"Widowed",TRUE,"Rented",FALSE,0,89,"missing",1.9773805009869,39832,0.79082145009038,0.612590564182028,FALSE,"(65,Inf]",NA
"126","California",1211323,"M",NA,46200,"Widowed",TRUE,"Rented",TRUE,1,74,"missing",1.1821912226922,39832,1.15987146013256,0.610787127166986,FALSE,"(65,Inf]",NA
